State,Avg °F,Avg °C,Rank,
AL,62.8,17.1,7,
AK,26.6,-3,50,
AZ,60.3,15.7,10,
AR,60.4,15.8,9,
CA,59.4,15.2,12,
CO,45.1,7.3,39,
CT,49,9.4,29,
DE,55.3,12.9,16,
FL,70.7,21.1,2,
GA,63.5,17.5,5,
HI,70,21.1,1,
ID,44.4,6.9,40,
IL,51.8,11,23,
IN,51.7,10.9,25,
IA,47.8,8.8,36,
KS,54.3,12.4,19,
KY,55.6,13.1,15,
LA,66.4,19.1,3,
ME,41,5,48,
MD,54.2,12.3,20,
MA,47.9,8.8,35,
MI,44.4,6.9,40,
MN,41.2,5.1,47,
MS,63.4,17.4,6,
MO,54.5,12.5,18,
MT,42.7,5.9,45,
NE,48.8,9.3,30,
NV,49.9,9.9,28,
NH,43.8,6.6,42,
NJ,52.7,11.5,22,
NM,53.4,11.9,21,
NY,45.4,7.4,37,
NC,59,15,13,
ND,40.4,4.7,49,
OH,50.7,10.4,26,
OK,59.6,15.3,11,
OR,48.4,9.1,33,
PA,48.8,9.3,30,
RI,50.1,10.1,27,
SC,62.4,16.9,8,
SD,45.2,7.3,38,
TN,57.6,14.2,14,
TX,64.8,18.2,4,
UT,48.6,9.2,32,
VT,42.9,6.1,44,
VA,55.1,12.8,17,
WA,48.3,9.1,34,
WV,51.8,11,23,
WI,43.1,6.2,43,
WY,42,5.6,46,
