review_id,beer_id,username,taste
1,271781,bluejacket74,4
2,125646,_dirty_,4.5
3,125646,CJDUBYA,4.75
4,125646,GratefulBeerGuy,4.5
5,125646,LukeGude,4.25
6,125646,jneff33,5
7,125646,yummybeer,4.75
8,125646,MFMB,4.5
9,125646,wwoj,4.5
10,125646,Rubenjr,4.5
11,125646,jshusc,4.5
12,125646,wfreitag,4.75
13,125646,RollTide7,4.75
14,125646,jngrizzaffi,4.5
15,125646,MBruckerATC,5
16,125646,PDOR1960,4.5
17,125646,hankf44,4.75
18,125646,JNickerson12,5
19,125646,Chackman151,5
20,125646,Lucular,4.25
21,125646,ColForbinBC,4.5
22,125646,atomicnemesis,4.25
23,125646,Mattybuchs,5
24,125646,goblue30,4.5
25,125646,Lcoblentz,4.75
26,125646,ekobrien,4.5
27,205644,West_Chester_Ale_Tester,3.75
28,205644,SMH_NWI,3.5
29,205644,Brutaltruth,4
30,205644,SaisonRichBiere,3.5
31,205644,Bdel34,3.5
32,205644,ffshore545,3.75
33,205644,secondtooth,4.25
34,205644,izzyismyrott,3.5
35,125646,Beer-Ed,4.5
36,125646,SoniaB,4.5
37,150672,Derek,4.25
38,150672,byronic,3.75
39,150672,Beervana,3.75
40,150672,Coronaeus,4
41,150672,jcubz,3.5
42,150672,PJT,4.5
43,150672,Mlkluther,4
44,150672,wanderingspirit,4.25
45,150672,Phyl21ca,3.75
46,150672,yancot,3.75
47,150672,mistahmojoryan,4
48,150672,Long813,4
49,150672,Sathanas,4.75
50,150672,Rempeba,3.5
51,150672,KingHoppy,4.5
52,150672,Corson,3.75
53,150672,Slongie,2.5
54,150672,Bunman3,4.25
55,150672,adacovsk,4.5
56,150672,Idrankthat,4.25
57,150672,sasky7777,4.25
58,235178,Bryan12345,
59,150672,Saskadan,4
60,150672,biboergosum,4
61,311190,vfgccp,2
62,311190,NolaHopHead,3.5
63,311190,Rub_This_BBQ,3.5
64,311190,BigMike,3.75
65,311190,Hopfenpeter,3.75
66,125646,bhatch729,4.5
67,125646,Bum4ever,4.5
68,125646,Hudson2508,4.5
69,125646,mthomp081,5
70,104824,Fcolle2,4.5
71,104824,Reagan1984,
72,104824,Chibeerguy1,
73,104824,AaronBurr,
74,104824,kevanb,4.5
75,104824,dfhhead25,
76,104824,WillCarrera,
77,104824,MarkyMOD,
78,104824,Kevinpitts,5
79,104824,blue-dream,
80,104824,cjgator3,
81,104824,Fusebuddy,
82,104824,1noa,
83,104824,PHKrames,
84,104824,Stoutfan23DJ,
85,74580,EDAPOE51,
86,74580,Aisha,
87,74580,icehawk,3.5
88,74580,mpayne5,
89,74580,drummermattie02,
90,74580,freewill35,
91,74580,mrfrancis,
92,74580,ajs4bd,
93,74580,rmehughes,
94,74580,BTFU,
95,74580,speedvagen,
96,74580,secondtooth,3.25
97,74580,MSandahl23,
98,74580,AmitC,
99,74580,jmarsh123,
100,74580,Pillowburn,
101,74580,LarBob1969,
102,74580,Keener,
103,74580,psmith161,
104,74580,noblittjared,
105,74580,FalconA,
106,74580,denimdemon,
107,74580,Rempo,
108,74580,grogged,2
109,74580,aasher,3.5
110,58482,Imstillthegman,4
111,205644,Jaypeajus,3.75
112,205644,JNForsyth,4
